location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
New Gurgaon,Apartment,1,1,680,15,20,2,6.68,0,0,0,3,11157356
Palam Vihar,Villa,1,1,450,3,26,1,1.37,0,0,1,1,8538537
DLF Phase 2,Builder Floor,3,4,1837,1,42,2,12.99,1,1,0,1,35716286
Sohna Road,Builder Floor,5,5,3261,22,12,1,0.8,0,1,1,2,58722191
Sector 57,Apartment,2,2,1060,2,13,1,5.77,1,1,0,3,23916942
Sector 83,Apartment,3,4,1959,3,13,2,1.59,1,0,1,4,39003738
DLF Phase 2,Apartment,2,2,1333,24,2,2,11.65,1,1,0,1,18758344
Golf Course Road,Apartment,3,3,1582,17,32,2,4.76,0,1,1,2,47824553
Palam Vihar,Apartment,3,3,2125,11,31,1,1.79,0,0,1,5,42759439
Sohna Road,Apartment,2,3,555,23,11,3,8.02,1,0,1,3,8185877
DLF Phase 5,Apartment,2,3,663,0,37,2,13.75,1,0,1,3,36116975
Sector 57,Builder Floor,4,4,1820,2,4,3,13.64,1,0,1,4,35326669
DLF Phase 1,Apartment,1,2,639,3,34,3,3.82,0,1,1,1,11813792
Sector 57,Apartment,3,3,1482,5,16,1,10.82,1,0,1,2,32954705
Sector 56,Villa,3,3,1238,16,31,0,0.55,0,1,0,1,22815680
South City 1,Villa,2,3,1175,7,25,3,2.06,1,1,1,2,24247574
DLF Phase 4,Builder Floor,3,4,1842,17,39,3,7.54,0,0,1,4,52840639
DLF Phase 3,Penthouse,4,4,2043,15,8,1,3.51,1,1,1,1,52252150
Sector 56,Apartment,3,4,1302,20,8,2,11.99,0,0,1,5,27242389
Sector 82,Penthouse,1,2,600,5,34,0,13.97,1,0,0,4,8097123
Sector 54,Apartment,3,4,2133,23,15,0,0.16,1,1,1,4,36835754
Sector 70,Apartment,3,3,1290,18,5,2,3.57,1,0,0,3,27644822
Golf Course Road,Apartment,3,3,2464,24,19,1,6.65,0,0,0,2,62367412
Sector 65,Apartment,3,4,1562,20,10,4,8.49,1,1,1,1,30414560
Sector 67,Apartment,1,1,510,7,9,3,13.75,1,1,1,2,6236722
Sector 84,Builder Floor,3,3,1856,3,29,2,13.39,1,1,1,4,33775198
Sector 83,Builder Floor,3,4,1843,8,40,1,9.59,1,1,0,1,29581225
DLF Phase 3,Apartment,3,3,861,7,37,1,3.94,1,0,1,5,32310066
DLF Phase 2,Apartment,3,4,1754,20,19,1,11.77,0,1,0,2,32181467
Sector 54,Builder Floor,2,2,1361,18,13,2,3.12,1,1,1,2,27907773
Sector 57,Builder Floor,2,2,1487,0,40,1,14.48,0,0,1,5,22261550
DLF Phase 3,Apartment,5,6,2918,20,16,2,0.19,1,1,1,4,69494793
Sector 85,Builder Floor,3,3,1650,20,30,2,8.59,1,0,1,2,30061025
Sector 92,Apartment,3,4,2104,3,5,3,1.42,1,0,1,3,44787719
Sector 82,Apartment,3,3,2552,9,33,3,6.17,1,0,1,3,40473924
Sector 70,Villa,5,5,3065,7,19,2,9.56,0,1,1,1,62400536
DLF Phase 2,Apartment,5,5,2872,2,19,2,10.38,1,1,1,5,56500701
Sector 84,Apartment,3,4,2327,11,17,1,11.8,1,1,1,4,42757448
Palam Vihar,Villa,1,1,450,8,24,1,8.94,0,1,1,3,6239951
Sohna Road,Builder Floor,4,4,2435,2,28,3,3.84,1,0,1,1,44917430
Sector 56,Apartment,3,4,2811,3,42,2,13.35,1,0,1,1,50483054
Sector 85,Apartment,3,4,1990,5,37,1,12.19,0,1,0,2,35340528
Sector 89,Apartment,4,4,2829,8,22,2,2.48,1,1,0,4,58402875
Sohna Road,Builder Floor,3,4,1661,1,39,3,12.42,1,0,1,3,32673839
Sohna Road,Apartment,1,2,682,1,16,1,14.59,1,1,0,5,15865590
DLF Phase 3,Apartment,4,5,3080,17,35,1,9.59,1,0,1,2,63683387
DLF Phase 3,Villa,3,4,1164,20,27,3,4.3,0,1,0,3,26008201
Sector 65,Apartment,2,2,1173,21,12,2,9.14,1,1,1,1,19393200
Palam Vihar,Apartment,2,3,1297,2,28,2,5.2,1,1,1,5,29663650
Sector 84,Apartment,3,3,1776,2,1,1,10.17,0,0,1,1,33525157
DLF Phase 4,Builder Floor,2,2,1063,17,39,3,8.22,1,0,1,2,33224662
Sector 84,Apartment,2,2,1590,5,18,3,13.95,0,0,0,5,28251039
Sector 70,Apartment,3,4,1885,0,23,2,9.31,0,1,1,5,41410613
Sector 89,Builder Floor,4,5,2007,24,22,0,3.29,1,1,1,2,42428411
Sector 57,Apartment,3,3,2213,14,4,2,10.9,0,1,0,1,33642138
New Gurgaon,Apartment,4,4,3178,10,11,1,4.58,1,1,1,5,58480996
Sector 65,Apartment,4,5,3038,9,18,1,4.16,1,0,1,4,56835556
DLF Phase 5,Apartment,3,4,1625,3,7,1,5.94,0,1,1,4,48176451
Sector 54,Apartment,2,2,1095,13,21,1,0.28,0,1,1,1,18880967
Sector 92,Apartment,4,5,1817,1,35,4,14.54,0,0,1,5,35444101
DLF Phase 3,Apartment,3,4,1906,12,37,0,8.03,0,0,1,1,41574070
New Gurgaon,Apartment,1,1,753,15,30,2,11.63,0,1,1,4,7620894
Sector 82,Villa,2,3,1357,11,17,1,3.94,1,1,1,5,26396625
Sector 70,Penthouse,4,5,3381,21,33,2,11.22,1,1,0,5,61097771
Sector 54,Builder Floor,2,2,656,4,16,1,8.55,0,1,1,1,12774126
Sector 92,Villa,2,3,1239,18,15,2,6.42,1,0,1,5,28440793
Sohna Road,Apartment,3,3,2149,2,13,3,14.56,0,1,1,1,42757714
DLF Phase 4,Penthouse,4,5,2059,20,39,4,7.46,1,1,1,3,55318387
Sector 65,Apartment,3,3,1324,19,3,2,9.9,0,0,1,3,24224859
Sohna Road,Villa,2,3,861,20,24,1,0.33,0,0,1,4,21412871
Golf Course Road,Penthouse,1,1,614,1,23,1,4.59,1,1,1,4,33707665
Sector 82,Builder Floor,3,4,1282,16,1,2,13.34,1,0,0,2,25463872
Sector 65,Penthouse,1,2,806,20,32,1,11.41,1,1,1,3,15876269
Sector 83,Apartment,3,4,2016,10,33,2,8.1,1,0,1,3,36389280
Sector 83,Apartment,2,2,1143,0,30,4,13.51,0,1,1,2,22289725
New Gurgaon,Apartment,4,5,2354,18,2,3,7.34,1,1,1,1,41262483
Sector 92,Apartment,3,3,2254,7,18,3,8.54,1,0,1,3,37964908
Sector 92,Apartment,2,3,1575,10,30,3,5.79,0,0,1,3,33281984
DLF Phase 4,Builder Floor,4,5,1877,7,18,2,9.34,1,0,1,4,55295136
Sector 54,Penthouse,2,3,994,24,5,2,4.85,1,0,0,2,20266851
Sector 67,Apartment,2,3,1099,16,5,1,5.84,1,1,1,2,22635197
Sector 57,Builder Floor,4,5,2050,19,8,4,14.5,1,0,0,4,39518998
DLF Phase 4,Villa,2,3,694,5,9,1,1.76,1,1,0,3,31025326
Sector 65,Villa,3,3,1457,6,32,2,1.67,1,1,1,5,37290743
Sector 57,Penthouse,3,3,1504,20,14,1,0.75,1,0,1,2,25416857
Sector 67,Apartment,2,3,863,12,13,1,4.87,1,1,1,3,15425572
Sector 83,Penthouse,1,2,661,6,18,2,6.03,1,1,1,1,11809575
Golf Course Road,Builder Floor,4,5,2329,10,4,1,1.51,1,0,1,2,69075669
Sector 56,Apartment,3,4,2059,9,22,2,8.28,1,1,1,4,40008501
Sector 67,Apartment,2,3,924,7,20,2,8.79,1,0,1,2,16882390
Golf Course Extension Road,Builder Floor,2,2,1377,9,15,2,11.29,1,0,1,4,36049077
Sector 89,Apartment,5,6,3101,21,7,1,14.64,1,0,1,1,54384048
Sector 89,Builder Floor,5,6,2616,10,13,2,9.33,0,0,1,3,51994861
Sector 84,Builder Floor,3,3,2473,19,34,3,1.76,1,1,1,4,43573491
Sector 67,Apartment,4,4,2463,16,41,1,1.42,1,1,0,4,52013041
Sector 67,Apartment,4,4,2105,10,30,2,11.69,1,0,0,1,38890562
New Gurgaon,Builder Floor,2,3,1278,15,5,2,9.79,1,1,0,5,23160382
DLF Phase 2,Apartment,1,2,467,4,1,3,2.51,1,1,1,2,14471457
Sector 56,Apartment,2,3,1150,9,31,2,3.88,0,0,1,5,24863256
Palam Vihar,Apartment,4,5,3536,19,20,1,11.28,1,1,1,2,64387681
Sector 67,Apartment,4,5,1409,4,19,3,8.54,0,0,1,1,34646185
Sector 57,Villa,3,3,1578,19,29,3,8.82,1,1,1,1,29278671
DLF Phase 1,Apartment,2,3,1158,8,38,3,3.23,0,0,0,5,26873604
Sector 70,Builder Floor,3,4,1646,2,10,2,9.47,1,1,1,1,32312187
Sector 83,Apartment,4,5,2119,2,29,3,11.58,1,1,0,3,39807120
Sector 92,Apartment,4,4,3348,9,31,2,13.29,1,1,1,5,59621192
Sector 82,Villa,1,2,522,6,11,2,11.08,1,0,1,4,12075402
DLF Phase 1,Builder Floor,3,4,1966,1,23,3,8.69,1,1,1,4,40148117
Sector 84,Apartment,1,2,514,24,30,3,10.13,1,0,1,1,9368872
Sector 67,Apartment,3,4,1967,7,25,2,7.33,0,1,1,1,34805643
Sector 82,Apartment,3,3,2192,11,16,3,3.48,0,1,1,2,42333722
Sector 83,Apartment,2,2,1179,21,23,1,13.24,0,1,0,5,23661389
Sector 83,Builder Floor,4,4,2079,8,33,1,8.04,0,0,1,5,38490225
DLF Phase 2,Apartment,2,3,1165,10,37,2,8.96,1,1,0,3,25413006
Sector 84,Apartment,4,4,2699,18,28,2,14.85,0,0,1,4,48393683
Sector 54,Apartment,2,2,1442,19,27,1,14.78,1,0,1,4,25715325
Sohna Road,Villa,3,4,1907,22,6,2,8.84,0,1,1,3,32063217
Sector 92,Penthouse,5,6,2944,16,38,1,0.61,1,1,1,2,57950982
DLF Phase 3,Apartment,2,2,1558,12,37,2,6.0,1,1,0,3,38193209
Sector 65,Builder Floor,3,3,1536,0,6,3,14.07,1,0,0,2,30152392
Sector 92,Apartment,3,3,1626,0,25,2,4.4,1,1,0,2,34284717
Sector 83,Apartment,2,2,1702,7,13,1,14.99,1,1,0,2,30307040
Sector 70,Builder Floor,3,4,1759,12,33,4,1.36,0,0,1,1,38760988
Sector 83,Villa,4,5,2769,5,33,2,8.56,1,1,1,1,55417177
New Gurgaon,Villa,4,4,1903,2,25,3,7.78,1,1,1,2,43069352
Sector 84,Apartment,4,4,2960,15,14,2,3.9,0,0,1,3,57166415
Sector 54,Apartment,3,3,1316,9,40,4,14.23,0,1,1,3,27313262
Sector 84,Builder Floor,3,4,1285,6,41,3,9.33,1,1,1,3,25919666
Sector 89,Apartment,4,5,2899,21,42,2,3.53,0,0,0,1,51669342
Palam Vihar,Apartment,3,4,1648,20,38,1,5.82,1,0,1,2,32382802
DLF Phase 1,Apartment,2,2,1132,2,9,2,10.85,0,1,0,4,24466664
Sector 65,Builder Floor,3,4,1980,13,18,2,4.54,1,0,1,3,39252472
Sector 82,Apartment,4,4,2237,15,15,2,13.21,1,1,1,1,41276159
Sector 85,Apartment,3,3,1359,3,4,1,2.57,1,0,1,5,33584775
South City 1,Villa,4,5,2081,12,34,2,4.04,0,1,0,2,42177999
Sector 70,Apartment,2,2,927,0,38,2,2.26,1,1,1,3,21158622
DLF Phase 1,Apartment,5,6,3812,24,17,3,1.65,1,1,0,1,63458639
Sector 67,Apartment,3,4,2306,4,7,3,4.57,1,0,1,5,45786473
Sector 82,Apartment,3,3,1446,17,32,1,14.99,1,1,1,2,23399788
Golf Course Extension Road,Apartment,1,1,660,11,23,1,1.51,1,0,1,4,22048538
Sector 82,Apartment,2,3,1123,10,20,0,3.27,1,1,0,2,23662605
Sector 92,Villa,4,5,3217,8,2,0,4.15,1,0,1,2,59711893
Sector 56,Apartment,5,6,4658,6,21,1,9.33,0,1,1,3,78414782
Sector 70,Villa,2,3,1404,13,12,3,11.21,0,0,0,2,22938067
Golf Course Road,Apartment,1,2,528,23,42,3,11.3,1,1,1,5,31556129
Sector 70,Apartment,3,4,1313,2,27,1,0.23,0,1,1,5,32820070
Palam Vihar,Apartment,1,2,634,15,10,2,9.81,1,1,0,2,9392260
Sector 65,Apartment,2,2,1156,6,8,2,9.5,1,0,0,2,23938777
Sector 54,Builder Floor,4,5,1592,0,21,4,7.81,0,0,0,5,33377860
Sector 92,Apartment,5,5,3055,5,22,3,5.75,0,1,0,5,55518062
Palam Vihar,Apartment,2,2,1791,5,13,1,11.98,1,0,0,3,33720825
Sector 89,Villa,3,4,2138,9,40,1,5.22,1,0,0,4,44119559
DLF Phase 2,Villa,2,3,874,11,12,0,3.53,0,0,0,5,21441222
Palam Vihar,Villa,2,3,1194,21,17,2,4.72,0,1,0,4,24039665
Sector 92,Apartment,2,3,1304,18,9,2,6.65,1,0,1,4,24505300
DLF Phase 1,Builder Floor,3,4,2006,5,40,1,3.29,0,1,1,5,41134061
Sohna Road,Apartment,2,2,741,13,12,3,9.15,1,0,1,3,17297255
Sector 70,Apartment,3,3,1750,2,9,2,13.27,1,1,1,2,39358735
Sector 57,Apartment,2,3,1273,9,30,4,8.97,0,0,0,1,21077077
DLF Phase 2,Apartment,2,3,1147,8,6,0,6.76,0,1,1,2,20365259
South City 1,Apartment,2,3,659,22,25,1,11.97,1,0,1,1,9587055
DLF Phase 5,Apartment,4,5,2315,19,28,1,11.25,0,0,1,5,64793129
South City 1,Villa,3,3,2129,18,10,0,5.57,1,0,1,2,37478966
Sohna Road,Apartment,4,4,2079,21,41,3,9.1,1,0,1,2,37232040
Sector 83,Apartment,3,3,1602,14,28,1,10.97,1,1,1,1,24258467
Palam Vihar,Apartment,2,3,1591,8,29,2,3.76,1,1,1,3,28163757
Sector 83,Villa,3,4,1716,18,36,1,5.56,1,0,1,5,33837977
Sector 67,Apartment,1,2,615,7,11,1,1.68,0,1,1,5,8469680
Sector 92,Apartment,4,4,1355,21,21,3,14.82,0,1,0,5,25278780
Sector 82,Builder Floor,3,3,1357,3,38,4,1.38,1,1,1,2,31018577
DLF Phase 1,Builder Floor,2,2,1813,4,26,2,2.61,1,0,1,4,33027387
Palam Vihar,Apartment,3,4,2495,18,18,4,7.25,0,0,1,1,39756112
DLF Phase 3,Builder Floor,3,3,1998,13,4,2,12.99,1,0,0,2,42605310
Golf Course Road,Builder Floor,5,6,1399,17,44,2,5.4,1,0,0,3,54839980
Palam Vihar,Builder Floor,3,3,1240,24,41,3,11.55,1,1,0,3,24970606
Sector 70,Apartment,3,4,1229,18,15,1,10.17,1,1,1,2,26781665
DLF Phase 4,Villa,2,3,815,5,23,1,9.62,0,0,0,1,30775917
Sector 85,Apartment,5,6,2729,4,41,2,12.69,0,1,0,5,57645073
Sector 82,Apartment,3,4,2127,10,6,1,0.31,0,0,1,5,38975768
Sector 57,Apartment,3,3,1534,23,43,1,13.94,0,0,1,4,23537190
Sector 85,Apartment,2,2,1113,4,7,1,12.46,1,0,1,2,15515199
DLF Phase 3,Apartment,4,4,2227,7,15,3,14.07,1,1,1,4,55584951
Sector 56,Builder Floor,2,3,1452,4,9,2,11.92,1,1,1,3,27432968
Sector 84,Apartment,3,3,2175,10,30,2,13.19,0,1,0,5,34219282
Golf Course Extension Road,Apartment,4,5,2490,12,44,3,3.13,0,1,1,5,61691536
Sector 82,Apartment,5,5,3894,5,43,2,4.86,1,1,1,4,74934201
DLF Phase 1,Apartment,3,3,1639,4,28,2,4.8,1,0,0,2,33299087
Sector 54,Penthouse,4,5,3378,17,30,3,1.73,1,0,1,4,59267640
Sector 84,Apartment,1,2,515,9,8,3,10.97,1,1,1,3,7703614
DLF Phase 5,Apartment,4,5,1297,15,35,2,2.13,1,1,1,2,49754358
Golf Course Extension Road,Apartment,3,3,1269,21,35,2,0.88,1,1,0,3,38459348
Sector 89,Apartment,3,4,1232,13,26,2,11.65,1,1,1,2,33087187
Sector 82,Apartment,4,4,1985,22,30,2,13.58,1,0,1,4,34284651
DLF Phase 3,Builder Floor,4,4,3032,14,35,1,11.49,1,1,1,1,64648340
Sector 82,Penthouse,2,2,1074,2,38,2,12.4,0,0,1,4,19118697
DLF Phase 5,Apartment,4,5,1641,2,11,1,8.97,0,0,1,2,50966373
South City 1,Builder Floor,2,2,792,11,20,0,13.33,1,0,1,3,11784189
Sector 65,Builder Floor,4,5,2367,22,31,2,7.5,0,1,0,4,46960238
Sector 92,Villa,3,4,2440,14,34,3,14.83,0,1,1,2,45274610
DLF Phase 5,Apartment,2,2,1261,10,12,0,1.64,1,1,1,3,45334999
DLF Phase 3,Apartment,3,3,2196,9,28,1,12.16,1,1,1,3,48300583
Sector 57,Apartment,3,3,1968,19,3,2,9.66,1,0,1,3,36570130
Sector 57,Builder Floor,3,3,1158,14,42,2,8.75,1,0,1,2,27730670
Golf Course Extension Road,Builder Floor,2,3,1368,17,5,1,10.91,0,1,1,3,28977178
DLF Phase 2,Apartment,2,3,881,24,13,1,12.62,0,1,0,3,16516001
South City 1,Apartment,4,5,2166,13,12,2,12.96,1,1,1,4,45171459
South City 1,Villa,2,3,997,24,1,3,2.71,1,1,1,3,22284156
New Gurgaon,Builder Floor,3,4,1756,5,43,0,3.04,1,1,1,1,32790662
Sector 83,Penthouse,3,4,1695,13,19,1,0.34,1,0,1,2,31098758
Sector 57,Builder Floor,2,3,1093,15,29,2,2.06,1,0,1,3,23048213
Sector 67,Apartment,3,4,1684,1,39,1,4.03,0,0,1,3,34234427
Sector 89,Apartment,3,4,1912,18,42,1,10.84,1,1,1,5,38192303
Sector 92,Builder Floor,3,3,1684,4,25,2,7.19,1,1,1,4,36924185
Sector 84,Apartment,3,3,1727,10,16,4,11.39,1,0,1,3,31595976
Golf Course Road,Apartment,3,4,2636,10,17,1,7.35,0,1,1,4,64229344
DLF Phase 4,Builder Floor,2,3,1491,20,28,2,8.38,0,1,1,4,37334764
DLF Phase 1,Apartment,4,4,2120,24,39,1,1.75,1,0,1,1,36928113
Sector 85,Builder Floor,2,2,1229,18,43,3,11.67,0,1,1,2,19840888
Sector 89,Apartment,5,5,3019,17,5,1,11.4,1,1,1,1,56536141
Sector 57,Villa,3,4,1833,7,1,2,4.68,0,1,1,2,35032410
Sector 67,Apartment,4,4,2388,22,3,3,5.0,0,1,1,5,41572480
Sohna Road,Apartment,3,3,1836,11,24,4,3.37,0,0,1,1,36592832
South City 1,Apartment,2,2,1129,8,29,2,12.23,1,0,0,4,20084722
Sector 67,Apartment,4,4,2055,2,15,1,11.23,1,1,1,3,39633658
Sector 82,Builder Floor,2,2,1091,5,4,2,9.18,1,0,1,5,19836117
Sector 54,Builder Floor,2,3,713,20,44,1,3.66,1,0,0,2,15441353
Sector 65,Apartment,2,2,1394,20,1,2,2.66,1,0,1,1,23810154
Sector 70,Apartment,5,6,3337,23,15,2,0.85,1,1,1,5,61560178
DLF Phase 4,Apartment,3,3,2644,0,24,3,0.78,1,0,1,1,60516807
DLF Phase 1,Apartment,3,3,1297,16,31,2,2.89,1,0,1,4,25536788
DLF Phase 4,Villa,3,3,1630,2,20,2,1.6,1,1,1,1,49802278
Sector 89,Builder Floor,3,3,2290,17,10,3,8.39,1,1,0,2,42147575
Sector 57,Builder Floor,4,4,2600,17,11,3,5.44,1,1,1,2,51401066
Sector 56,Builder Floor,3,4,2485,1,18,2,6.73,1,0,1,3,44243334
DLF Phase 4,Apartment,4,5,3226,3,34,2,8.95,1,0,1,3,69706190
Sector 92,Villa,2,3,519,0,28,2,9.92,1,0,1,2,15861710
Sector 57,Builder Floor,2,3,1272,9,38,1,9.76,1,1,1,2,24663370
Sector 67,Builder Floor,3,4,1910,24,16,1,3.99,0,1,1,2,30453311
Sector 65,Villa,3,4,1790,4,24,2,12.16,1,1,1,5,37983054
Sector 54,Apartment,3,4,1617,4,39,1,13.77,1,0,1,1,22679084
Sector 65,Builder Floor,3,3,2456,8,12,2,4.81,1,1,0,5,42230759
Sector 85,Apartment,2,3,1192,13,42,2,0.35,1,0,1,4,29265396
Sector 65,Apartment,3,3,482,20,7,2,13.5,1,0,1,3,21035760
Sector 83,Apartment,3,3,1614,12,36,0,13.86,1,1,1,1,32400901
DLF Phase 5,Penthouse,2,3,1779,12,17,1,0.86,0,0,0,3,48215222
Sector 92,Villa,3,3,1330,23,4,1,0.17,0,1,1,4,27909066
Sector 65,Builder Floor,2,2,1540,0,37,1,12.26,1,0,1,2,21627725
New Gurgaon,Builder Floor,3,4,2237,16,33,4,4.59,1,0,1,3,40198230
Sector 54,Apartment,2,2,1128,19,19,1,13.73,0,1,0,2,13375463
Sector 57,Villa,5,6,3132,7,26,1,3.33,0,0,1,3,63317275
Sector 85,Apartment,3,3,1770,2,11,1,12.93,0,0,1,4,35601997
DLF Phase 3,Apartment,2,3,1052,16,31,2,1.12,1,1,0,3,33519186
Sector 92,Apartment,3,3,1519,11,1,2,3.98,1,0,1,4,33369987
Sector 84,Builder Floor,4,5,3195,24,40,1,14.6,0,1,0,1,51647102
Sector 70,Builder Floor,3,3,1727,24,36,3,3.54,1,1,1,5,33276251
DLF Phase 1,Apartment,4,5,1967,24,29,3,2.08,0,1,1,4,37552308
Sector 84,Apartment,2,2,1353,24,25,1,12.87,1,0,1,3,21903929
Sohna Road,Builder Floor,4,4,2638,17,18,2,1.86,0,1,1,1,48396643
DLF Phase 5,Apartment,3,4,1173,13,3,2,1.55,1,1,0,4,45916182
DLF Phase 5,Builder Floor,2,2,1019,10,18,1,4.92,0,0,0,3,33854644
Sector 57,Penthouse,3,4,1086,15,7,3,9.57,1,0,1,4,24056958
DLF Phase 3,Apartment,5,5,4785,3,28,1,10.69,1,1,1,4,94129615
Sector 89,Apartment,4,4,2196,17,17,2,13.23,0,0,1,2,40432639
South City 1,Builder Floor,3,4,1515,6,25,2,8.16,0,1,1,3,28323918
Sector 57,Builder Floor,2,2,1059,10,18,2,5.96,1,0,1,5,19702708
Palam Vihar,Apartment,3,4,1483,15,40,3,5.45,1,1,1,4,28637869
Sector 85,Penthouse,2,2,1148,15,43,1,12.72,0,0,0,1,24254406
Sector 83,Apartment,2,2,1545,2,3,1,10.88,1,1,1,3,32200002
DLF Phase 1,Apartment,3,3,1840,24,25,2,13.59,1,0,0,5,31623794
DLF Phase 2,Builder Floor,4,4,1622,22,7,1,14.46,0,1,1,3,32520521
Sector 70,Villa,3,4,1317,23,10,1,4.57,0,0,1,5,30710197
Sector 70,Apartment,2,3,1248,8,44,2,7.99,1,1,1,5,30196304
DLF Phase 1,Builder Floor,3,3,1450,7,44,1,9.51,0,1,0,4,29828557
Sector 83,Apartment,5,5,2866,6,19,1,2.54,0,0,1,2,53073924
Sector 82,Apartment,4,5,3881,24,15,1,0.89,1,0,1,3,70427036
Sector 82,Apartment,3,3,1377,16,21,1,13.03,0,1,1,1,26132074
Sector 65,Villa,5,6,1987,10,21,2,8.08,1,0,1,1,41589321
Sector 83,Apartment,4,4,1985,3,37,0,8.6,0,1,1,2,41647007
Sector 70,Apartment,2,2,696,3,28,4,8.37,1,0,0,1,13983176
Sector 82,Apartment,3,4,2340,4,32,1,11.35,1,1,0,3,38073043
South City 1,Villa,5,5,2188,7,41,2,2.27,1,0,1,1,50215121
Sector 82,Builder Floor,3,4,1390,9,27,3,9.25,1,1,0,3,30525772
Sector 89,Builder Floor,2,3,826,16,23,1,7.1,0,0,1,5,19188908
Sohna Road,Apartment,3,4,1089,5,10,2,13.46,1,1,0,4,19029346
DLF Phase 2,Builder Floor,3,4,1776,8,40,3,7.84,0,0,1,2,35375573
DLF Phase 2,Apartment,5,6,2474,9,41,1,14.15,1,1,0,2,49637291
Sector 56,Builder Floor,2,3,694,7,6,4,5.36,0,0,0,1,14734174
DLF Phase 3,Villa,3,3,1643,14,24,0,14.51,1,0,1,3,38593585
South City 1,Apartment,4,5,2604,17,18,1,13.14,0,1,0,4,45194900
Sector 84,Builder Floor,3,4,1614,22,10,3,8.81,1,0,0,1,34312233
Sohna Road,Apartment,2,2,1367,4,15,1,5.37,1,1,0,4,29010213
South City 1,Apartment,5,6,4188,17,43,2,5.7,0,1,1,3,73582925
DLF Phase 4,Apartment,3,3,2142,0,34,3,11.61,0,1,1,1,52692245
Sector 70,Apartment,3,4,1890,1,8,4,8.75,1,0,1,1,37274297
New Gurgaon,Apartment,3,4,2141,9,35,2,6.08,1,1,0,4,40565134
Sector 56,Builder Floor,1,2,911,5,27,4,9.58,1,0,1,1,13705865
DLF Phase 1,Apartment,5,5,1991,23,25,2,11.03,1,1,0,4,43882867
DLF Phase 4,Builder Floor,3,3,2065,18,3,1,0.44,0,0,1,3,51521594
DLF Phase 1,Apartment,3,4,1381,20,21,2,1.44,1,0,1,4,28982545
Sector 84,Apartment,2,3,1267,10,39,2,1.51,1,0,1,3,27877779
Sector 84,Builder Floor,3,3,1244,17,32,2,3.56,1,1,0,3,30796181
Golf Course Extension Road,Apartment,4,4,2823,15,21,2,6.46,1,1,1,5,64854804
South City 1,Apartment,4,4,2556,7,9,2,12.07,1,0,0,4,43134190
Sector 92,Builder Floor,5,6,4049,3,1,2,5.33,0,1,1,2,75912440
Sector 82,Apartment,3,3,1686,10,4,4,0.36,0,0,0,5,34316024
Sector 67,Apartment,3,3,1672,9,4,2,7.3,1,1,1,5,32121219
DLF Phase 2,Apartment,3,3,1676,15,26,1,14.95,1,1,0,4,31663113
Sector 89,Villa,4,4,3778,11,34,3,5.3,0,1,1,5,64798097
Sector 67,Builder Floor,3,3,2066,21,27,1,14.42,1,0,0,5,30455462
Sector 54,Builder Floor,3,3,2364,2,15,3,1.61,1,0,1,1,44854987
Palam Vihar,Builder Floor,2,2,1402,10,32,1,2.68,0,1,1,3,23367386
Sector 82,Apartment,2,3,1446,23,41,1,10.89,1,0,0,2,22657312
Sector 56,Apartment,3,3,1180,15,7,1,7.57,0,0,1,4,25591406
Sector 57,Builder Floor,5,6,2608,23,44,1,11.5,0,1,1,1,42458576
Sector 57,Apartment,2,3,1026,2,44,2,12.97,0,1,0,2,19046195
Sector 92,Apartment,2,2,1216,24,14,1,3.84,1,0,1,2,18321593
DLF Phase 1,Apartment,2,3,1171,9,23,3,10.27,0,0,1,1,17228612
Sector 84,Apartment,4,5,1499,20,1,2,9.15,1,0,1,4,31992721
Sector 65,Penthouse,3,3,1818,15,32,1,12.94,1,1,1,3,31659394
Sector 56,Apartment,2,3,636,24,41,2,6.51,0,1,0,1,14181034
DLF Phase 5,Apartment,3,3,2126,6,26,2,0.87,1,1,1,5,61101962
Sector 85,Apartment,3,3,1843,14,9,3,8.66,1,1,0,2,35965137
Sector 82,Penthouse,3,3,2323,14,16,2,14.39,1,1,0,5,34897133
Golf Course Road,Apartment,4,4,2519,9,31,1,0.32,0,0,1,4,70601920
Golf Course Extension Road,Apartment,2,2,1070,2,2,2,3.68,0,0,0,3,34038718
Sector 84,Builder Floor,3,3,1137,5,32,1,4.81,1,1,0,3,21924528
Golf Course Road,Builder Floor,2,2,1089,17,10,2,11.51,0,0,1,3,40387149
Sohna Road,Apartment,2,3,979,21,25,3,4.92,0,1,1,5,20519421
Sector 65,Apartment,3,3,1956,4,18,1,3.66,1,1,0,4,38226484
New Gurgaon,Apartment,2,3,1082,15,34,2,9.76,0,1,1,5,22812749
Sector 70,Apartment,3,3,2054,12,29,1,0.79,1,0,0,2,39215216
Sector 65,Apartment,1,1,789,2,24,1,2.64,1,1,1,3,18230349
South City 1,Apartment,2,2,804,14,3,2,6.18,1,1,1,4,13556865
Sector 56,Apartment,4,5,2398,22,15,2,5.4,1,1,1,5,43980049
Palam Vihar,Apartment,3,4,1779,19,3,2,5.27,1,0,1,5,32994800
Sector 92,Builder Floor,3,4,1931,5,31,1,1.72,1,1,1,5,38814869
Sector 82,Penthouse,4,5,2784,24,10,3,5.48,1,1,1,5,46866798
Golf Course Extension Road,Apartment,3,4,2466,21,38,0,11.99,0,0,1,5,52831996
